"Position","Decimal","Name","Appearance"
"0x2200","8704","FOR ALL","∀"
"0x2201","8705","COMPLEMENT","∁"
"0x2202","8706","PARTIAL DIFFERENTIAL","∂"
"0x2203","8707","THERE EXISTS","∃"
"0x2204","8708","THERE DOES NOT EXIST","∄"
"0x2205","8709","EMPTY SET","∅"
"0x2206","8710","INCREMENT","∆"
"0x2207","8711","NABLA","∇"
"0x2208","8712","ELEMENT OF","∈"
"0x2209","8713","NOT AN ELEMENT OF","∉"
"0x220A","8714","SMALL ELEMENT OF","∊"
"0x220B","8715","CONTAINS AS MEMBER","∋"
"0x220C","8716","DOES NOT CONTAIN AS MEMBER","∌"
"0x220D","8717","SMALL CONTAINS AS MEMBER","∍"
"0x220E","8718","END OF PROOF","∎"
"0x220F","8719","N-ARY PRODUCT","∏"
"0x2210","8720","N-ARY COPRODUCT","∐"
"0x2211","8721","N-ARY SUMMATION","∑"
"0x2212","8722","MINUS SIGN","−"
"0x2213","8723","MINUS-OR-PLUS SIGN","∓"
"0x2214","8724","DOT PLUS","∔"
"0x2215","8725","DIVISION SLASH","∕"
"0x2216","8726","SET MINUS","∖"
"0x2217","8727","ASTERISK OPERATOR","∗"
"0x2218","8728","RING OPERATOR","∘"
"0x2219","8729","BULLET OPERATOR","∙"
"0x221A","8730","SQUARE ROOT","√"
"0x221B","8731","CUBE ROOT","∛"
"0x221C","8732","FOURTH ROOT","∜"
"0x221D","8733","PROPORTIONAL TO","∝"
"0x221E","8734","INFINITY","∞"
"0x221F","8735","RIGHT ANGLE","∟"
"0x2220","8736","ANGLE","∠"
"0x2221","8737","MEASURED ANGLE","∡"
"0x2222","8738","SPHERICAL ANGLE","∢"
"0x2223","8739","DIVIDES","∣"
"0x2224","8740","DOES NOT DIVIDE","∤"
"0x2225","8741","PARALLEL TO","∥"
"0x2226","8742","NOT PARALLEL TO","∦"
"0x2227","8743","LOGICAL AND","∧"
"0x2228","8744","LOGICAL OR","∨"
"0x2229","8745","INTERSECTION","∩"
"0x222A","8746","UNION","∪"
"0x222B","8747","INTEGRAL","∫"
"0x222C","8748","DOUBLE INTEGRAL","∬"
"0x222D","8749","TRIPLE INTEGRAL","∭"
"0x222E","8750","CONTOUR INTEGRAL","∮"
"0x222F","8751","SURFACE INTEGRAL","∯"
"0x2230","8752","VOLUME INTEGRAL","∰"
"0x2231","8753","CLOCKWISE INTEGRAL","∱"
"0x2232","8754","CLOCKWISE CONTOUR INTEGRAL","∲"
"0x2233","8755","ANTICLOCKWISE CONTOUR INTEGRAL","∳"
"0x2234","8756","THEREFORE","∴"
"0x2235","8757","BECAUSE","∵"
"0x2236","8758","RATIO","∶"
"0x2237","8759","PROPORTION","∷"
"0x2238","8760","DOT MINUS","∸"
"0x2239","8761","EXCESS","∹"
"0x223A","8762","GEOMETRIC PROPORTION","∺"
"0x223B","8763","HOMOTHETIC","∻"
"0x223C","8764","TILDE OPERATOR","∼"
"0x223D","8765","REVERSED TILDE","∽"
"0x223E","8766","INVERTED LAZY S","∾"
"0x223F","8767","SINE WAVE","∿"
"0x2240","8768","WREATH PRODUCT","≀"
"0x2241","8769","NOT TILDE","≁"
"0x2242","8770","MINUS TILDE","≂"
"0x2243","8771","ASYMPTOTICALLY EQUAL TO","≃"
"0x2244","8772","NOT ASYMPTOTICALLY EQUAL TO","≄"
"0x2245","8773","APPROXIMATELY EQUAL TO","≅"
"0x2246","8774","APPROXIMATELY BUT NOT ACTUALLY EQUAL TO","≆"
"0x2247","8775","NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO","≇"
"0x2248","8776","ALMOST EQUAL TO","≈"
"0x2249","8777","NOT ALMOST EQUAL TO","≉"
"0x224A","8778","ALMOST EQUAL OR EQUAL TO","≊"
"0x224B","8779","TRIPLE TILDE","≋"
"0x224C","8780","ALL EQUAL TO","≌"
"0x224D","8781","EQUIVALENT TO","≍"
"0x224E","8782","GEOMETRICALLY EQUIVALENT TO","≎"
"0x224F","8783","DIFFERENCE BETWEEN","≏"
"0x2250","8784","APPROACHES THE LIMIT","≐"
"0x2251","8785","GEOMETRICALLY EQUAL TO","≑"
"0x2252","8786","APPROXIMATELY EQUAL TO OR THE IMAGE OF","≒"
"0x2253","8787","IMAGE OF OR APPROXIMATELY EQUAL TO","≓"
"0x2254","8788","COLON EQUALS","≔"
"0x2255","8789","EQUALS COLON","≕"
"0x2256","8790","RING IN EQUAL TO","≖"
"0x2257","8791","RING EQUAL TO","≗"
"0x2258","8792","CORRESPONDS TO","≘"
"0x2259","8793","ESTIMATES","≙"
"0x225A","8794","EQUIANGULAR TO","≚"
"0x225B","8795","STAR EQUALS","≛"
"0x225C","8796","DELTA EQUAL TO","≜"
"0x225D","8797","EQUAL TO BY DEFINITION","≝"
"0x225E","8798","MEASURED BY","≞"
"0x225F","8799","QUESTIONED EQUAL TO","≟"
"0x2260","8800","NOT EQUAL TO","≠"
"0x2261","8801","IDENTICAL TO","≡"
"0x2262","8802","NOT IDENTICAL TO","≢"
"0x2263","8803","STRICTLY EQUIVALENT TO","≣"
"0x2264","8804","LESS-THAN OR EQUAL TO","≤"
"0x2265","8805","GREATER-THAN OR EQUAL TO","≥"
"0x2266","8806","LESS-THAN OVER EQUAL TO","≦"
"0x2267","8807","GREATER-THAN OVER EQUAL TO","≧"
"0x2268","8808","LESS-THAN BUT NOT EQUAL TO","≨"
"0x2269","8809","GREATER-THAN BUT NOT EQUAL TO","≩"
"0x226A","8810","MUCH LESS-THAN","≪"
"0x226B","8811","MUCH GREATER-THAN","≫"
"0x226C","8812","BETWEEN","≬"
"0x226D","8813","NOT EQUIVALENT TO","≭"
"0x226E","8814","NOT LESS-THAN","≮"
"0x226F","8815","NOT GREATER-THAN","≯"
"0x2270","8816","NEITHER LESS-THAN NOR EQUAL TO","≰"
"0x2271","8817","NEITHER GREATER-THAN NOR EQUAL TO","≱"
"0x2272","8818","LESS-THAN OR EQUIVALENT TO","≲"
"0x2273","8819","GREATER-THAN OR EQUIVALENT TO","≳"
"0x2274","8820","NEITHER LESS-THAN NOR EQUIVALENT TO","≴"
"0x2275","8821","NEITHER GREATER-THAN NOR EQUIVALENT TO","≵"
"0x2276","8822","LESS-THAN OR GREATER-THAN","≶"
"0x2277","8823","GREATER-THAN OR LESS-THAN","≷"
"0x2278","8824","NEITHER LESS-THAN NOR GREATER-THAN","≸"
"0x2279","8825","NEITHER GREATER-THAN NOR LESS-THAN","≹"
"0x227A","8826","PRECEDES","≺"
"0x227B","8827","SUCCEEDS","≻"
"0x227C","8828","PRECEDES OR EQUAL TO","≼"
"0x227D","8829","SUCCEEDS OR EQUAL TO","≽"
"0x227E","8830","PRECEDES OR EQUIVALENT TO","≾"
"0x227F","8831","SUCCEEDS OR EQUIVALENT TO","≿"
"0x2280","8832","DOES NOT PRECEDE","⊀"
"0x2281","8833","DOES NOT SUCCEED","⊁"
"0x2282","8834","SUBSET OF","⊂"
"0x2283","8835","SUPERSET OF","⊃"
"0x2284","8836","NOT A SUBSET OF","⊄"
"0x2285","8837","NOT A SUPERSET OF","⊅"
"0x2286","8838","SUBSET OF OR EQUAL TO","⊆"
"0x2287","8839","SUPERSET OF OR EQUAL TO","⊇"
"0x2288","8840","NEITHER A SUBSET OF NOR EQUAL TO","⊈"
"0x2289","8841","NEITHER A SUPERSET OF NOR EQUAL TO","⊉"
"0x228A","8842","SUBSET OF WITH NOT EQUAL TO","⊊"
"0x228B","8843","SUPERSET OF WITH NOT EQUAL TO","⊋"
"0x228C","8844","MULTISET","⊌"
"0x228D","8845","MULTISET MULTIPLICATION","⊍"
"0x228E","8846","MULTISET UNION","⊎"
"0x228F","8847","SQUARE IMAGE OF","⊏"
"0x2290","8848","SQUARE ORIGINAL OF","⊐"
"0x2291","8849","SQUARE IMAGE OF OR EQUAL TO","⊑"
"0x2292","8850","SQUARE ORIGINAL OF OR EQUAL TO","⊒"
"0x2293","8851","SQUARE CAP","⊓"
"0x2294","8852","SQUARE CUP","⊔"
"0x2295","8853","CIRCLED PLUS","⊕"
"0x2296","8854","CIRCLED MINUS","⊖"
"0x2297","8855","CIRCLED TIMES","⊗"
"0x2298","8856","CIRCLED DIVISION SLASH","⊘"
"0x2299","8857","CIRCLED DOT OPERATOR","⊙"
"0x229A","8858","CIRCLED RING OPERATOR","⊚"
"0x229B","8859","CIRCLED ASTERISK OPERATOR","⊛"
"0x229C","8860","CIRCLED EQUALS","⊜"
"0x229D","8861","CIRCLED DASH","⊝"
"0x229E","8862","SQUARED PLUS","⊞"
"0x229F","8863","SQUARED MINUS","⊟"
"0x22A0","8864","SQUARED TIMES","⊠"
"0x22A1","8865","SQUARED DOT OPERATOR","⊡"
"0x22A2","8866","RIGHT TACK","⊢"
"0x22A3","8867","LEFT TACK","⊣"
"0x22A4","8868","DOWN TACK","⊤"
"0x22A5","8869","UP TACK","⊥"
"0x22A6","8870","ASSERTION","⊦"
"0x22A7","8871","MODELS","⊧"
"0x22A8","8872","TRUE","⊨"
"0x22A9","8873","FORCES","⊩"
"0x22AA","8874","TRIPLE VERTICAL BAR RIGHT TURNSTILE","⊪"
"0x22AB","8875","DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE","⊫"
"0x22AC","8876","DOES NOT PROVE","⊬"
"0x22AD","8877","NOT TRUE","⊭"
"0x22AE","8878","DOES NOT FORCE","⊮"
"0x22AF","8879","NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE","⊯"
"0x22B0","8880","PRECEDES UNDER RELATION","⊰"
"0x22B1","8881","SUCCEEDS UNDER RELATION","⊱"
"0x22B2","8882","NORMAL SUBGROUP OF","⊲"
"0x22B3","8883","CONTAINS AS NORMAL SUBGROUP","⊳"
"0x22B4","8884","NORMAL SUBGROUP OF OR EQUAL TO","⊴"
"0x22B5","8885","CONTAINS AS NORMAL SUBGROUP OR EQUAL TO","⊵"
"0x22B6","8886","ORIGINAL OF","⊶"
"0x22B7","8887","IMAGE OF","⊷"
"0x22B8","8888","MULTIMAP","⊸"
"0x22B9","8889","HERMITIAN CONJUGATE MATRIX","⊹"
"0x22BA","8890","INTERCALATE","⊺"
"0x22BB","8891","XOR","⊻"
"0x22BC","8892","NAND","⊼"
"0x22BD","8893","NOR","⊽"
"0x22BE","8894","RIGHT ANGLE WITH ARC","⊾"
"0x22BF","8895","RIGHT TRIANGLE","⊿"
"0x22C0","8896","N-ARY LOGICAL AND","⋀"
"0x22C1","8897","N-ARY LOGICAL OR","⋁"
"0x22C2","8898","N-ARY INTERSECTION","⋂"
"0x22C3","8899","N-ARY UNION","⋃"
"0x22C4","8900","DIAMOND OPERATOR","⋄"
"0x22C5","8901","DOT OPERATOR","⋅"
"0x22C6","8902","STAR OPERATOR","⋆"
"0x22C7","8903","DIVISION TIMES","⋇"
"0x22C8","8904","BOWTIE","⋈"
"0x22C9","8905","LEFT NORMAL FACTOR SEMIDIRECT PRODUCT","⋉"
"0x22CA","8906","RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT","⋊"
"0x22CB","8907","LEFT SEMIDIRECT PRODUCT","⋋"
"0x22CC","8908","RIGHT SEMIDIRECT PRODUCT","⋌"
"0x22CD","8909","REVERSED TILDE EQUALS","⋍"
"0x22CE","8910","CURLY LOGICAL OR","⋎"
"0x22CF","8911","CURLY LOGICAL AND","⋏"
"0x22D0","8912","DOUBLE SUBSET","⋐"
"0x22D1","8913","DOUBLE SUPERSET","⋑"
"0x22D2","8914","DOUBLE INTERSECTION","⋒"
"0x22D3","8915","DOUBLE UNION","⋓"
"0x22D4","8916","PITCHFORK","⋔"
"0x22D5","8917","EQUAL AND PARALLEL TO","⋕"
"0x22D6","8918","LESS-THAN WITH DOT","⋖"
"0x22D7","8919","GREATER-THAN WITH DOT","⋗"
"0x22D8","8920","VERY MUCH LESS-THAN","⋘"
"0x22D9","8921","VERY MUCH GREATER-THAN","⋙"
"0x22DA","8922","LESS-THAN EQUAL TO OR GREATER-THAN","⋚"
"0x22DB","8923","GREATER-THAN EQUAL TO OR LESS-THAN","⋛"
"0x22DC","8924","EQUAL TO OR LESS-THAN","⋜"
"0x22DD","8925","EQUAL TO OR GREATER-THAN","⋝"
"0x22DE","8926","EQUAL TO OR PRECEDES","⋞"
"0x22DF","8927","EQUAL TO OR SUCCEEDS","⋟"
"0x22E0","8928","DOES NOT PRECEDE OR EQUAL","⋠"
"0x22E1","8929","DOES NOT SUCCEED OR EQUAL","⋡"
"0x22E2","8930","NOT SQUARE IMAGE OF OR EQUAL TO","⋢"
"0x22E3","8931","NOT SQUARE ORIGINAL OF OR EQUAL TO","⋣"
"0x22E4","8932","SQUARE IMAGE OF OR NOT EQUAL TO","⋤"
"0x22E5","8933","SQUARE ORIGINAL OF OR NOT EQUAL TO","⋥"
"0x22E6","8934","LESS-THAN BUT NOT EQUIVALENT TO","⋦"
"0x22E7","8935","GREATER-THAN BUT NOT EQUIVALENT TO","⋧"
"0x22E8","8936","PRECEDES BUT NOT EQUIVALENT TO","⋨"
"0x22E9","8937","SUCCEEDS BUT NOT EQUIVALENT TO","⋩"
"0x22EA","8938","NOT NORMAL SUBGROUP OF","⋪"
"0x22EB","8939","DOES NOT CONTAIN AS NORMAL SUBGROUP","⋫"
"0x22EC","8940","NOT NORMAL SUBGROUP OF OR EQUAL TO","⋬"
"0x22ED","8941","DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL","⋭"
"0x22EE","8942","VERTICAL ELLIPSIS","⋮"
"0x22EF","8943","MIDLINE HORIZONTAL ELLIPSIS","⋯"
"0x22F0","8944","UP RIGHT DIAGONAL ELLIPSIS","⋰"
"0x22F1","8945","DOWN RIGHT DIAGONAL ELLIPSIS","⋱"
