"no.","LaTeX","requirements"
"1D5DD","\mathsfbf{J}","mathsfbf, omlmathsfbf"
"1D5DE","\mathsfbf{K}","mathsfbf, omlmathsfbf"
"1D5DF","\mathsfbf{L}","mathsfbf, omlmathsfbf"
"1D5E0","\mathsfbf{M}","mathsfbf, omlmathsfbf"
"1D5E1","\mathsfbf{N}","mathsfbf, omlmathsfbf"
"1D5E2","\mathsfbf{O}","mathsfbf, omlmathsfbf"
"1D5E3","\mathsfbf{P}","mathsfbf, omlmathsfbf"
"1D5E4","\mathsfbf{Q}","mathsfbf, omlmathsfbf"
"1D5E5","\mathsfbf{R}","mathsfbf, omlmathsfbf"
"1D5E6","\mathsfbf{S}","mathsfbf, omlmathsfbf"
"1D5E7","\mathsfbf{T}","mathsfbf, omlmathsfbf"
"1D5E8","\mathsfbf{U}","mathsfbf, omlmathsfbf"
"1D5E9","\mathsfbf{V}","mathsfbf, omlmathsfbf"
"1D5EA","\mathsfbf{W}","mathsfbf, omlmathsfbf"
"1D5EB","\mathsfbf{X}","mathsfbf, omlmathsfbf"
"1D5EC","\mathsfbf{Y}","mathsfbf, omlmathsfbf"
"1D5ED","\mathsfbf{Z}","mathsfbf, omlmathsfbf"
"1D5EE","\mathsfbf{a}","mathsfbf, omlmathsfbf"
"1D5EF","\mathsfbf{b}","mathsfbf, omlmathsfbf"
"1D5F0","\mathsfbf{c}","mathsfbf, omlmathsfbf"
"1D5F1","\mathsfbf{d}","mathsfbf, omlmathsfbf"
"1D5F2","\mathsfbf{e}","mathsfbf, omlmathsfbf"
"1D5F3","\mathsfbf{f}","mathsfbf, omlmathsfbf"
"1D5F4","\mathsfbf{g}","mathsfbf, omlmathsfbf"
"1D5F5","\mathsfbf{h}","mathsfbf, omlmathsfbf"
"1D5F6","\mathsfbf{i}","mathsfbf, omlmathsfbf"
"1D5F7","\mathsfbf{j}","mathsfbf, omlmathsfbf"
"1D5F8","\mathsfbf{k}","mathsfbf, omlmathsfbf"
"1D5F9","\mathsfbf{l}","mathsfbf, omlmathsfbf"
"1D5FA","\mathsfbf{m}","mathsfbf, omlmathsfbf"
"1D5FB","\mathsfbf{n}","mathsfbf, omlmathsfbf"
"1D5FC","\mathsfbf{o}","mathsfbf, omlmathsfbf"
"1D5FD","\mathsfbf{p}","mathsfbf, omlmathsfbf"
"1D5FE","\mathsfbf{q}","mathsfbf, omlmathsfbf"
"1D5FF","\mathsfbf{r}","mathsfbf, omlmathsfbf"
"1D600","\mathsfbf{s}","mathsfbf, omlmathsfbf"
"1D601","\mathsfbf{t}","mathsfbf, omlmathsfbf"
"1D602","\mathsfbf{u}","mathsfbf, omlmathsfbf"
"1D603","\mathsfbf{v}","mathsfbf, omlmathsfbf"
"1D604","\mathsfbf{w}","mathsfbf, omlmathsfbf"
"1D605","\mathsfbf{x}","mathsfbf, omlmathsfbf"
"1D606","\mathsfbf{y}","mathsfbf, omlmathsfbf"
"1D607","\mathsfbf{z}","mathsfbf, omlmathsfbf"
"1D608","\mathsfit{A}","omlmathsfit"
"1D609","\mathsfit{B}","omlmathsfit"
"1D60A","\mathsfit{C}","omlmathsfit"
"1D60B","\mathsfit{D}","omlmathsfit"
"1D60C","\mathsfit{E}","omlmathsfit"
"1D60D","\mathsfit{F}","omlmathsfit"
"1D60E","\mathsfit{G}","omlmathsfit"
"1D60F","\mathsfit{H}","omlmathsfit"
"1D610","\mathsfit{I}","omlmathsfit"
"1D611","\mathsfit{J}","omlmathsfit"
"1D612","\mathsfit{K}","omlmathsfit"
"1D613","\mathsfit{L}","omlmathsfit"
"1D614","\mathsfit{M}","omlmathsfit"
"1D615","\mathsfit{N}","omlmathsfit"
"1D616","\mathsfit{O}","omlmathsfit"
"1D617","\mathsfit{P}","omlmathsfit"
"1D618","\mathsfit{Q}","omlmathsfit"
"1D619","\mathsfit{R}","omlmathsfit"
"1D61A","\mathsfit{S}","omlmathsfit"
"1D61B","\mathsfit{T}","omlmathsfit"
"1D61C","\mathsfit{U}","omlmathsfit"
"1D61D","\mathsfit{V}","omlmathsfit"
"1D61E","\mathsfit{W}","omlmathsfit"
"1D61F","\mathsfit{X}","omlmathsfit"
"1D620","\mathsfit{Y}","omlmathsfit"
"1D621","\mathsfit{Z}","omlmathsfit"
"1D622","\mathsfit{a}","omlmathsfit"
"1D623","\mathsfit{b}","omlmathsfit"
"1D624","\mathsfit{c}","omlmathsfit"
"1D625","\mathsfit{d}","omlmathsfit"
"1D626","\mathsfit{e}","omlmathsfit"
"1D627","\mathsfit{f}","omlmathsfit"
"1D628","\mathsfit{g}","omlmathsfit"
"1D629","\mathsfit{h}","omlmathsfit"
"1D62A","\mathsfit{i}","omlmathsfit"
"1D62B","\mathsfit{j}","omlmathsfit"
"1D62C","\mathsfit{k}","omlmathsfit"
"1D62D","\mathsfit{l}","omlmathsfit"
"1D62E","\mathsfit{m}","omlmathsfit"
"1D62F","\mathsfit{n}","omlmathsfit"
"1D630","\mathsfit{o}","omlmathsfit"
"1D631","\mathsfit{p}","omlmathsfit"
"1D632","\mathsfit{q}","omlmathsfit"
"1D633","\mathsfit{r}","omlmathsfit"
"1D634","\mathsfit{s}","omlmathsfit"
"1D635","\mathsfit{t}","omlmathsfit"
"1D636","\mathsfit{u}","omlmathsfit"
"1D637","\mathsfit{v}","omlmathsfit"
"1D638","\mathsfit{w}","omlmathsfit"
"1D639","\mathsfit{x}","omlmathsfit"
"1D63A","\mathsfit{y}","omlmathsfit"
"1D63B","\mathsfit{z}","omlmathsfit"
"1D63C","\mathsfbfit{A}","isomath"
"1D63D","\mathsfbfit{B}","isomath"
"1D63E","\mathsfbfit{C}","isomath"
"1D63F","\mathsfbfit{D}","isomath"
"1D640","\mathsfbfit{E}","isomath"
"1D641","\mathsfbfit{F}","isomath"
"1D642","\mathsfbfit{G}","isomath"
"1D643","\mathsfbfit{H}","isomath"
"1D644","\mathsfbfit{I}","isomath"
"1D645","\mathsfbfit{J}","isomath"
"1D646","\mathsfbfit{K}","isomath"
"1D647","\mathsfbfit{L}","isomath"
"1D648","\mathsfbfit{M}","isomath"
"1D649","\mathsfbfit{N}","isomath"
"1D64A","\mathsfbfit{O}","isomath"
"1D64B","\mathsfbfit{P}","isomath"
"1D64C","\mathsfbfit{Q}","isomath"
"1D64D","\mathsfbfit{R}","isomath"
"1D64E","\mathsfbfit{S}","isomath"
"1D64F","\mathsfbfit{T}","isomath"
"1D650","\mathsfbfit{U}","isomath"
"1D651","\mathsfbfit{V}","isomath"
"1D652","\mathsfbfit{W}","isomath"
"1D653","\mathsfbfit{X}","isomath"
"1D654","\mathsfbfit{Y}","isomath"
"1D655","\mathsfbfit{Z}","isomath"
"1D656","\mathsfbfit{a}","isomath"
"1D657","\mathsfbfit{b}","isomath"
"1D658","\mathsfbfit{c}","isomath"
"1D659","\mathsfbfit{d}","isomath"
"1D65A","\mathsfbfit{e}","isomath"
"1D65B","\mathsfbfit{f}","isomath"
"1D65C","\mathsfbfit{g}","isomath"
"1D65D","\mathsfbfit{h}","isomath"
"1D65E","\mathsfbfit{i}","isomath"
"1D65F","\mathsfbfit{j}","isomath"
"1D660","\mathsfbfit{k}","isomath"
"1D661","\mathsfbfit{l}","isomath"
"1D662","\mathsfbfit{m}","isomath"
"1D663","\mathsfbfit{n}","isomath"
"1D664","\mathsfbfit{o}","isomath"
"1D665","\mathsfbfit{p}","isomath"
"1D666","\mathsfbfit{q}","isomath"
"1D667","\mathsfbfit{r}","isomath"
"1D668","\mathsfbfit{s}","isomath"
"1D669","\mathsfbfit{t}","isomath"
"1D66A","\mathsfbfit{u}","isomath"
"1D66B","\mathsfbfit{v}","isomath"
"1D66C","\mathsfbfit{w}","isomath"
"1D66D","\mathsfbfit{x}","isomath"
"1D66E","\mathsfbfit{y}","isomath"
"1D66F","\mathsfbfit{z}","isomath"
"1D670","\mathtt{A}","*"
"1D671","\mathtt{B}","*"
"1D672","\mathtt{C}","*"
"1D673","\mathtt{D}","*"
"1D674","\mathtt{E}","*"
"1D675","\mathtt{F}","*"
"1D676","\mathtt{G}","*"
"1D677","\mathtt{H}","*"
"1D678","\mathtt{I}","*"
"1D679","\mathtt{J}","*"
"1D67A","\mathtt{K}","*"
"1D67B","\mathtt{L}","*"
"1D67C","\mathtt{M}","*"
"1D67D","\mathtt{N}","*"
"1D67E","\mathtt{O}","*"
"1D67F","\mathtt{P}","*"
"1D680","\mathtt{Q}","*"
"1D681","\mathtt{R}","*"
"1D682","\mathtt{S}","*"
"1D683","\mathtt{T}","*"
"1D684","\mathtt{U}","*"
"1D685","\mathtt{V}","*"
"1D686","\mathtt{W}","*"
"1D687","\mathtt{X}","*"
"1D688","\mathtt{Y}","*"
"1D689","\mathtt{Z}","*"
"1D68A","\mathtt{a}","*"
"1D68B","\mathtt{b}","*"
"1D68C","\mathtt{c}","*"
"1D68D","\mathtt{d}","*"
"1D68E","\mathtt{e}","*"
"1D68F","\mathtt{f}","*"
"1D690","\mathtt{g}","*"
"1D691","\mathtt{h}","*"
"1D692","\mathtt{i}","*"
"1D693","\mathtt{j}","*"
"1D694","\mathtt{k}","*"
"1D695","\mathtt{l}","*"
"1D696","\mathtt{m}","*"
"1D697","\mathtt{n}","*"
"1D698","\mathtt{o}","*"
"1D699","\mathtt{p}","*"
"1D69A","\mathtt{q}","*"
"1D69B","\mathtt{r}","*"
"1D69C","\mathtt{s}","*"
"1D69D","\mathtt{t}","*"
"1D69E","\mathtt{u}","*"
"1D69F","\mathtt{v}","*"
"1D6A0","\mathtt{w}","*"
"1D6A1","\mathtt{x}","*"
"1D6A2","\mathtt{y}","*"
"1D6A3","\mathtt{z}","*"
"1D6A4","\imath","*"
"1D6A5","\jmath","*"
"1D6A8",""," "
"1D6A9",""," "
"1D6AA","\mathbf{Gamma}","-fourier, -fouriernc"
"1D6AB","\mathbf{Delta}","-fourier, -fouriernc"
"1D6AC",""," "
"1D6AD",""," "
"1D6AE",""," "
"1D6AF","\mathbf{Theta}","-fourier, -fouriernc"
"1D6B0",""," "
"1D6B1",""," "
"1D6B2","\mathbf{Lambda}","-fourier, -fouriernc"
"1D6B3",""," "
"1D6B4",""," "
"1D6B5","\mathbf{Xi}","-fourier, -fouriernc"
"1D6B6",""," "
"1D6B7","\mathbf{Pi}","-fourier, -fouriernc"
"1D6B8",""," "
"1D6B9",""," "
"1D6BA","\mathbf{Sigma}","-fourier, -fouriernc"
"1D6BB",""," "
"1D6BC","\mathbf{Upsilon}","-fourier, -fouriernc"
"1D6BD","\mathbf{Phi}","-fourier, -fouriernc"
"1D6BE",""," "
"1D6BF","\mathbf{Psi}","-fourier, -fouriernc"
"1D6C0","\mathbf{Omega}","-fourier, -fouriernc"
"1D6C1",""," "
"1D6C2","\mathbf{alpha}","omlmathbf"
"1D6C3","\mathbf{beta}","omlmathbf"
"1D6C4","\mathbf{gamma}","omlmathbf"
"1D6C5","\mathbf{delta}","omlmathbf"
"1D6C6","\mathbf{varepsilon}","omlmathbf"
"1D6C7","\mathbf{zeta}","omlmathbf"
"1D6C8","\mathbf{eta}","omlmathbf"
"1D6C9","\mathbf{theta}","omlmathbf"
"1D6CA","\mathbf{iota}","omlmathbf"
"1D6CB","\mathbf{kappa}","omlmathbf"
"1D6CC","\mathbf{lambda}","omlmathbf"
"1D6CD","\mathbf{mu}","omlmathbf"
"1D6CE","\mathbf{nu}","omlmathbf"
"1D6CF","\mathbf{xi}","omlmathbf"
"1D6D0",""," "
"1D6D1","\mathbf{pi}","omlmathbf"
"1D6D2","\mathbf{rho}","omlmathbf"
"1D6D3","\mathbf{varsigma}","omlmathbf"
"1D6D4","\mathbf{sigma}","omlmathbf"
"1D6D5","\mathbf{tau}","omlmathbf"
"1D6D6","\mathbf{upsilon}","omlmathbf"
"1D6D7","\mathbf{varphi}","omlmathbf"
"1D6D8","\mathbf{chi}","omlmathbf"
"1D6D9","\mathbf{psi}","omlmathbf"
"1D6DA","\mathbf{omega}","omlmathbf"
"1D6DB",""," "
"1D6DC","\mathbf{epsilon}","omlmathbf"
"1D6DD","\mathbf{vartheta}","omlmathbf"
"1D6DE",""," "
"1D6DF","\mathbf{phi}","omlmathbf"
"1D6E0","\mathbf{varrho}","omlmathbf"
"1D6E1","\mathbf{varpi}","omlmathbf"
"1D6E2",""," "
"1D6E3",""," "
"1D6E4","\Gamma","fixmath, isomath, mathpazo, slantedGreek, tmmath"
"1D6E5","\Delta","fixmath, isomath, mathpazo, slantedGreek, tmmath"
"1D6E6",""," "
"1D6E7",""," "
"1D6E8",""," "
"1D6E9","\Theta","fixmath, isomath, mathpazo, slantedGreek, tmmath"
"1D6EA",""," "
"1D6EB",""," "
"1D6EC","\Lambda","fixmath, isomath, mathpazo, slantedGreek, tmmath"
"1D6ED",""," "
"1D6EE",""," "
"1D6EF","\Xi","fixmath, isomath, mathpazo, slantedGreek, tmmath"
"1D6F0",""," "
"1D6F1","\Pi","fixmath, isomath, mathpazo, slantedGreek, tmmath"
"1D6F2",""," "
"1D6F3",""," "
"1D6F4","\Sigma","fixmath, isomath, mathpazo, slantedGreek, tmmath"
"1D6F5",""," "
"1D6F6","\Upsilon","fixmath, isomath, mathpazo, slantedGreek, tmmath"
"1D6F7","\Phi","fixmath, isomath, mathpazo, slantedGreek, tmmath"
"1D6F8",""," "
"1D6F9","\Psi","fixmath, isomath, mathpazo, slantedGreek, tmmath"
"1D6FA","\Omega","fixmath, isomath, mathpazo, slantedGreek, tmmath"
"1D6FB",""," "
"1D6FC","\alpha","*"
"1D6FD","\beta","*"
"1D6FE","\gamma","*"
"1D6FF","\delta","*"
"1D700","\varepsilon","*"
"1D701","\zeta","*"
"1D702","\eta","*"
"1D703","\theta","*"
"1D704","\iota","*"
"1D705","\kappa","*"
"1D706","\lambda","*"
"1D707","\mu","*"
"1D708","\nu","*"
"1D709","\xi","*"
"1D70A",""," "
"1D70B","\pi","*"
"1D70C","\rho","*"
"1D70D","\varsigma","*"
"1D70E","\sigma","*"
"1D70F","\tau","*"
"1D710","\upsilon","*"
"1D711","\varphi","*"
"1D712","\chi","*"
"1D713","\psi","*"
"1D714","\omega","*"
"1D715","\partial","*"
"1D716","\epsilon","*"
"1D717","\vartheta","*"
"1D718","\varkappa","amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"1D719","\phi","*"
"1D71A","\varrho","*"
"1D71B","\varpi","*"
"1D71C",""," "
"1D71D",""," "
"1D71E","\mathbfit{Gamma}","isomath"
"1D71F","\mathbfit{Delta}","isomath"
"1D720",""," "
"1D721",""," "
"1D722",""," "
"1D723","\mathbfit{Theta}","isomath"
"1D724",""," "
"1D725",""," "
"1D726","\mathbfit{Lambda}","isomath"
"1D727",""," "
"1D728",""," "
"1D729","\mathbfit{Xi}","isomath"
"1D72A",""," "
"1D72B","\mathbfit{Pi}","isomath"
"1D72C",""," "
"1D72D",""," "
"1D72E","\mathbfit{Sigma}","isomath"
"1D72F",""," "
"1D730","\mathbfit{Upsilon}","isomath"
"1D731","\mathbfit{Phi}","isomath"
"1D732",""," "
"1D733","\mathbfit{Psi}","isomath"
"1D734","\mathbfit{Omega}","isomath"
"1D735",""," "
"1D736","\mathbfit{alpha}","isomath"
"1D737","\mathbfit{beta}","isomath"
"1D738","\mathbfit{gamma}","isomath"
"1D739","\mathbfit{delta}","isomath"
"1D73A","\mathbfit{varepsilon}","isomath"
"1D73B","\mathbfit{zeta}","isomath"
"1D73C","\mathbfit{eta}","isomath"
"1D73D","\mathbfit{theta}","isomath"
"1D73E","\mathbfit{iota}","isomath"
"1D73F","\mathbfit{kappa}","isomath"
"1D740","\mathbfit{lambda}","isomath"
"1D741","\mathbfit{mu}","isomath"
"1D742","\mathbfit{nu}","isomath"
"1D743","\mathbfit{xi}","isomath"
"1D744",""," "
"1D745","\mathbfit{pi}","isomath"
"1D746","\mathbfit{rho}","isomath"
"1D747","\mathbfit{varsigma}","isomath"
"1D748","\mathbfit{sigma}","isomath"
"1D749","\mathbfit{tau}","isomath"
"1D74A","\mathbfit{upsilon}","isomath"
"1D74B","\mathbfit{varphi}","isomath"
"1D74C","\mathbfit{chi}","isomath"
"1D74D","\mathbfit{psi}","isomath"
"1D74E","\mathbfit{omega}","isomath"
"1D74F",""," "
"1D750","\mathbfit{epsilon}","isomath"
"1D751","\mathbfit{vartheta}","isomath"
"1D752",""," "
"1D753","\mathbfit{phi}","isomath"
"1D754","\mathbfit{varrho}","isomath"
"1D755","\mathbfit{varpi}","isomath"
"1D756",""," "
"1D757",""," "
"1D758","\mathsfbf{Gamma}","mathsfbf, omlmathsfbf"
"1D759","\mathsfbf{Delta}","mathsfbf, omlmathsfbf"
"1D75A",""," "
"1D75B",""," "
"1D75C",""," "
"1D75D","\mathsfbf{Theta}","mathsfbf, omlmathsfbf"
"1D75E",""," "
"1D75F",""," "
"1D760","\mathsfbf{Lambda}","mathsfbf, omlmathsfbf"
"1D761",""," "
"1D762",""," "
"1D763","\mathsfbf{Xi}","mathsfbf, omlmathsfbf"
"1D764",""," "
"1D765","\mathsfbf{Pi}","mathsfbf, omlmathsfbf"
"1D766",""," "
"1D767",""," "
"1D768","\mathsfbf{Sigma}","mathsfbf, omlmathsfbf"
"1D769",""," "
"1D76A","\mathsfbf{Upsilon}","mathsfbf, omlmathsfbf"
"1D76B","\mathsfbf{Phi}","mathsfbf, omlmathsfbf"
"1D76C",""," "
"1D76D","\mathsfbf{Psi}","mathsfbf, omlmathsfbf"
"1D76E","\mathsfbf{Omega}","mathsfbf, omlmathsfbf"
"1D76F",""," "
"1D770","\mathsfbf{alpha}","omlmathsfbf"
"1D771","\mathsfbf{beta}","omlmathsfbf"
"1D772","\mathsfbf{gamma}","omlmathsfbf"
"1D773","\mathsfbf{delta}","omlmathsfbf"
"1D774","\mathsfbf{varepsilon}","omlmathsfbf"
"1D775","\mathsfbf{zeta}","omlmathsfbf"
"1D776","\mathsfbf{eta}","omlmathsfbf"
"1D777","\mathsfbf{theta}","omlmathsfbf"
"1D778","\mathsfbf{iota}","omlmathsfbf"
"1D779","\mathsfbf{kappa}","omlmathsfbf"
"1D77A","\mathsfbf{lambda}","omlmathsfbf"
"1D77B","\mathsfbf{mu}","omlmathsfbf"
"1D77C","\mathsfbf{nu}","omlmathsfbf"
"1D77D","\mathsfbf{xi}","omlmathsfbf"
"1D77E",""," "
"1D77F","\mathsfbf{pi}","omlmathsfbf"
"1D780","\mathsfbf{rho}","omlmathsfbf"
"1D781","\mathsfbf{varsigma}","omlmathsfbf"
"1D782","\mathsfbf{sigma}","omlmathsfbf"
"1D783","\mathsfbf{tau}","omlmathsfbf"
"1D784","\mathsfbf{upsilon}","omlmathsfbf"
"1D785","\mathsfbf{varphi}","omlmathsfbf"
"1D786","\mathsfbf{chi}","omlmathsfbf"
"1D787","\mathsfbf{psi}","omlmathsfbf"
"1D788","\mathsfbf{omega}","omlmathsfbf"
"1D789",""," "
"1D78A","\mathsfbf{epsilon}","omlmathsfbf"
"1D78B","\mathsfbf{vartheta}","omlmathsfbf"
"1D78C",""," "
"1D78D","\mathsfbf{phi}","omlmathsfbf"
"1D78E","\mathsfbf{varrho}","omlmathsfbf"
"1D78F","\mathsfbf{varpi}","omlmathsfbf"
"1D790",""," "
"1D791",""," "
"1D792","\mathsfbfit{Gamma}","isomath"
"1D793","\mathsfbfit{Delta}","isomath"
"1D794",""," "
"1D795",""," "
"1D796",""," "
"1D797","\mathsfbfit{Theta}","isomath"
"1D798",""," "
"1D799",""," "
"1D79A","\mathsfbfit{Lambda}","isomath"
"1D79B",""," "
"1D79C",""," "
"1D79D","\mathsfbfit{Xi}","isomath"
"1D79E",""," "
"1D79F","\mathsfbfit{Pi}","isomath"
"1D7A0",""," "
"1D7A1",""," "
"1D7A2","\mathsfbfit{Sigma}","isomath"
"1D7A3",""," "
"1D7A4","\mathsfbfit{Upsilon}","isomath"
"1D7A5","\mathsfbfit{Phi}","isomath"
"1D7A6",""," "
"1D7A7","\mathsfbfit{Psi}","isomath"
"1D7A8","\mathsfbfit{Omega}","isomath"
"1D7A9",""," "
"1D7AA","\mathsfbfit{alpha}","isomath"
"1D7AB","\mathsfbfit{beta}","isomath"
"1D7AC","\mathsfbfit{gamma}","isomath"
"1D7AD","\mathsfbfit{delta}","isomath"
"1D7AE","\mathsfbfit{varepsilon}","isomath"
"1D7AF","\mathsfbfit{zeta}","isomath"
"1D7B0","\mathsfbfit{eta}","isomath"
"1D7B1","\mathsfbfit{theta}","isomath"
"1D7B2","\mathsfbfit{iota}","isomath"
"1D7B3","\mathsfbfit{kappa}","isomath"
"1D7B4","\mathsfbfit{lambda}","isomath"
"1D7B5","\mathsfbfit{mu}","isomath"
"1D7B6","\mathsfbfit{nu}","isomath"
"1D7B7","\mathsfbfit{xi}","isomath"
"1D7B8",""," "
"1D7B9","\mathsfbfit{pi}","isomath"
"1D7BA","\mathsfbfit{rho}","isomath"
"1D7BB","\mathsfbfit{varsigma}","isomath"
"1D7BC","\mathsfbfit{sigma}","isomath"
"1D7BD","\mathsfbfit{tau}","isomath"
"1D7BE","\mathsfbfit{upsilon}","isomath"
"1D7BF","\mathsfbfit{varphi}","isomath"
"1D7C0","\mathsfbfit{chi}","isomath"
"1D7C1","\mathsfbfit{psi}","isomath"
"1D7C2","\mathsfbfit{omega}","isomath"
"1D7C3",""," "
"1D7C4","\mathsfbfit{epsilon}","isomath"
"1D7C5","\mathsfbfit{vartheta}","isomath"
"1D7C6",""," "
"1D7C7","\mathsfbfit{phi}","isomath"
"1D7C8","\mathsfbfit{varrho}","isomath"
"1D7C9","\mathsfbfit{varpi}","isomath"
"1D7CA",""," "
"1D7CB",""," "
"1D7CE","\mathbf{0}","*"
"1D7CF","\mathbf{1}","*"
"1D7D0","\mathbf{2}","*"
"1D7D1","\mathbf{3}","*"
"1D7D2","\mathbf{4}","*"
"1D7D3","\mathbf{5}","*"
"1D7D4","\mathbf{6}","*"
"1D7D5","\mathbf{7}","*"
"1D7D6","\mathbf{8}","*"
"1D7D7","\mathbf{9}","*"
"1D7D8","\mathbb{0}","bbold, mathbbol"
"1D7D9","\mathbb{1}","bbold, fourier, fouriernc, mathbbol"
"1D7DA","\mathbb{2}","bbold, mathbbol"
"1D7DB","\mathbb{3}","bbold, mathbbol"
"1D7DC","\mathbb{4}","bbold, mathbbol"
"1D7DD","\mathbb{5}","bbold, mathbbol"
"1D7DE","\mathbb{6}","bbold, mathbbol"
"1D7DF","\mathbb{7}","bbold, mathbbol"
"1D7E0","\mathbb{8}","bbold, mathbbol"
"1D7E1","\mathbb{9}","bbold, mathbbol"
"1D7E2","\mathsf{0}","*"
"1D7E3","\mathsf{1}","*"
"1D7E4","\mathsf{2}","*"
"1D7E5","\mathsf{3}","*"
"1D7E6","\mathsf{4}","*"
"1D7E7","\mathsf{5}","*"
"1D7E8","\mathsf{6}","*"
"1D7E9","\mathsf{7}","*"
"1D7EA","\mathsf{8}","*"
"1D7EB","\mathsf{9}","*"
"1D7EC","\mathsfbf{0}","mathsfbf, omlmathsfbf"
"1D7ED","\mathsfbf{1}","mathsfbf, omlmathsfbf"
"1D7EE","\mathsfbf{2}","mathsfbf, omlmathsfbf"
"1D7EF","\mathsfbf{3}","mathsfbf, omlmathsfbf"
"1D7F0","\mathsfbf{4}","mathsfbf, omlmathsfbf"
"1D7F1","\mathsfbf{5}","mathsfbf, omlmathsfbf"
"1D7F2","\mathsfbf{6}","mathsfbf, omlmathsfbf"
"1D7F3","\mathsfbf{7}","mathsfbf, omlmathsfbf"
"1D7F4","\mathsfbf{8}","mathsfbf, omlmathsfbf"
"1D7F5","\mathsfbf{9}","mathsfbf, omlmathsfbf"
"1D7F6","\mathtt{0}","*"
"1D7F7","\mathtt{1}","*"
"1D7F8","\mathtt{2}","*"
"1D7F9","\mathtt{3}","*"
"1D7FA","\mathtt{4}","*"
"1D7FB","\mathtt{5}","*"
"1D7FC","\mathtt{6}","*"
"1D7FD","\mathtt{7}","*"
"1D7FE","\mathtt{8}","*"
"1D7FF","\mathtt{9}","*"
